City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Salalah,OM,2021-05-24 03:52:37,17.0151,54.0924,81.99,73,42,7.2
194,College,US,2021-05-24 03:52:27,64.8569,-147.8028,58.59,32,20,5.75
195,Douglas,US,2021-05-24 03:49:55,41.3,-96.167,74.43,82,1,5.01
196,Haines Junction,CA,2021-05-24 03:54:35,60.7522,-137.5108,46.35,57,100,14.97
197,Norman Wells,CA,2021-05-24 03:50:57,65.282,-126.8329,44.64,87,75,10.36
198,Payo,ID,2021-05-24 03:54:35,-3.7508,103.6372,89.4,58,76,2.42
199,Xining,CN,2021-05-24 03:54:36,36.6167,101.7667,57.02,39,38,3.65
200,Ixtapa,MX,2021-05-24 03:49:30,20.7,-105.2,78.22,80,5,1.01
201,Lompoc,US,2021-05-24 03:51:43,34.6391,-120.4579,61.25,80,90,14.97
202,Trairi,BR,2021-05-24 03:52:27,-3.2778,-39.2689,77.67,84,7,7.74
203,Pokhara,NP,2021-05-24 03:54:36,28.2333,83.9833,88.57,33,0,5.23
204,Lorengau,PG,2021-05-24 03:51:26,-2.0226,147.2712,86.23,69,84,8.25
205,Hervey Bay,AU,2021-05-24 03:51:28,-25.2986,152.8535,77.04,69,37,8.99
206,Namie,JP,2021-05-24 03:54:37,37.4833,141.0,79.77,72,95,9.31
207,Cayenne,GF,2021-05-24 03:52:42,4.9333,-52.3333,77.09,90,75,8.23
208,Vardo,NO,2021-05-24 03:50:40,70.3705,31.1107,36.01,67,13,5.99
209,Rosa Zarate,EC,2021-05-24 03:54:05,0.3333,-79.4667,73.58,95,79,2.44
210,Chase,CA,2021-05-24 03:54:38,50.8165,-119.6857,68.38,56,100,2.21
211,Tromso,NO,2021-05-24 03:54:38,69.6496,18.957,39.22,56,0,5.75
212,Nome,US,2021-05-24 03:50:54,64.5011,-165.4064,53.11,70,1,5.75
213,Pangnirtung,CA,2021-05-24 03:51:31,66.1451,-65.7125,7.34,84,55,8.34
214,Guerrero Negro,MX,2021-05-24 03:51:21,27.9769,-114.0611,60.13,81,10,12.93
215,Lohja,FI,2021-05-24 03:54:39,60.2486,24.0653,48.43,85,4,5.99
216,Champerico,GT,2021-05-24 03:53:06,14.3,-91.9167,83.35,69,100,1.9
217,Labytnangi,RU,2021-05-24 03:54:39,66.6572,66.4183,39.56,42,7,17.78
218,Sosnovo-Ozerskoye,RU,2021-05-24 03:54:40,52.5249,111.5418,47.61,23,76,17.38
219,Natal,BR,2021-05-24 03:46:18,-5.795,-35.2094,77.22,91,40,7.16
220,Teguldet,RU,2021-05-24 03:54:40,57.3064,88.1667,64.98,46,18,15.93
221,Ponta Delgada,PT,2021-05-24 03:54:40,37.7333,-25.6667,52.52,82,20,2.3
222,Flagstaff,US,2021-05-24 03:50:57,35.1981,-111.6513,55.06,22,1,0.0
223,Wewak,PG,2021-05-24 03:54:41,-3.5534,143.6268,84.06,73,100,3.11
224,Shimoda,JP,2021-05-24 03:52:45,34.6667,138.95,74.16,66,97,10.54
225,Araouane,ML,2021-05-24 03:51:33,18.9048,-3.5265,91.62,18,5,7.54
226,Novochernorechenskiy,RU,2021-05-24 03:54:41,56.2669,91.0828,64.04,60,69,15.17
227,Dikson,RU,2021-05-24 03:50:23,73.5069,80.5464,27.64,85,60,15.7
228,Flinders,AU,2021-05-24 03:54:42,-34.5833,150.8552,66.2,83,56,1.01
229,Ornskoldsvik,SE,2021-05-24 03:50:22,63.2909,18.7153,40.82,80,75,3.44
230,Ribeira Grande,PT,2021-05-24 03:50:37,38.5167,-28.7,59.9,62,76,4.09
231,Dakar,SN,2021-05-24 03:52:21,14.6937,-17.4441,69.93,88,75,13.8
232,Kipini,KE,2021-05-24 03:54:43,-2.5257,40.5262,79.63,74,27,19.71
233,Cidreira,BR,2021-05-24 03:50:36,-30.1811,-50.2056,57.06,70,65,26.11
234,Acapulco,MX,2021-05-24 03:52:26,16.8634,-99.8901,82.0,66,1,5.46
235,Buluang,PH,2021-05-24 03:54:44,13.3068,123.3425,90.72,55,19,4.97
236,Manitouwadge,CA,2021-05-24 03:54:44,49.1215,-85.8403,39.92,76,17,6.13
237,Russell,US,2021-05-24 03:53:21,32.3502,-85.1999,71.8,65,1,2.17
238,Chegdomyn,RU,2021-05-24 03:54:44,51.1167,133.0167,43.36,94,100,6.89
239,Zhangjiakou,CN,2021-05-24 03:54:45,40.81,114.8794,59.23,23,98,5.1
240,Finschhafen,PG,2021-05-24 03:54:45,-6.6024,147.8681,83.43,73,47,11.32
241,Matay,EG,2021-05-24 03:54:45,28.419,30.7792,66.6,67,0,14.45
242,Melilla,ES,2021-05-24 03:54:46,35.2937,-2.9383,64.78,42,0,8.05
243,Glendive,US,2021-05-24 03:54:46,47.1053,-104.7125,56.82,97,90,6.91
244,Madimba,TZ,2021-05-24 03:54:46,-10.4,40.3333,69.12,82,20,11.14
245,Grootfontein,NA,2021-05-24 03:54:47,-19.5667,18.1167,42.37,87,0,2.3
246,Tuatapere,NZ,2021-05-24 03:50:12,-46.1333,167.6833,49.82,71,17,4.41
247,Camopi,GF,2021-05-24 03:54:47,3.1655,-52.3158,73.4,99,100,1.99
248,Provideniya,RU,2021-05-24 03:51:46,64.3833,-173.3,35.71,75,90,17.9
249,Muroto,JP,2021-05-24 03:54:48,33.2833,134.15,64.44,81,100,6.58
250,Laguna,US,2021-05-24 03:54:48,38.421,-121.4238,72.1,52,10,3.0
251,Dillon,US,2021-05-24 03:51:00,34.4166,-79.3712,76.24,52,35,5.06
252,Yulara,AU,2021-05-24 03:52:51,-25.2406,130.9889,82.24,23,40,19.57
253,Eldorado,BR,2021-05-24 03:54:49,-23.7869,-54.2836,48.88,63,5,6.26
254,Mattru,SL,2021-05-24 03:54:49,7.6244,-11.8332,75.72,95,97,1.59
255,The Valley,AI,2021-05-24 03:54:50,18.217,-63.0578,82.26,82,97,16.84
256,Bethel,US,2021-05-24 03:50:17,41.3712,-73.414,68.72,66,40,16.11
257,Palmas,BR,2021-05-24 03:52:45,-10.2128,-48.3603,73.27,94,0,5.75
258,San Jeronimo,PE,2021-05-24 03:54:50,-11.9472,-75.2829,48.81,87,93,1.66
259,Lagoa,PT,2021-05-24 03:51:08,39.05,-27.9833,59.95,65,99,6.51
260,Marquette,US,2021-05-24 03:54:51,46.5333,-87.6335,44.04,77,100,2.98
261,Coquimbo,CL,2021-05-24 03:50:17,-29.9533,-71.3436,51.53,73,0,0.4
262,Micheweni,TZ,2021-05-24 03:54:51,-4.9667,39.8333,78.17,70,47,15.23
263,Brae,GB,2021-05-24 03:54:52,60.3964,-1.353,46.31,79,77,14.7
264,San Cristobal,VE,2021-05-24 03:51:18,7.7669,-72.225,67.12,92,97,3.0
265,Quatre Cocos,MU,2021-05-24 03:51:14,-20.2078,57.7625,71.71,75,25,12.73
266,Kununurra,AU,2021-05-24 03:50:45,-15.7667,128.7333,91.38,40,26,8.05
267,Rocha,UY,2021-05-24 03:51:26,-34.4833,-54.3333,54.16,88,98,19.8
268,Awjilah,LY,2021-05-24 03:54:52,29.1081,21.2869,70.56,22,0,10.33
269,Opuwo,NA,2021-05-24 03:50:30,-18.0607,13.84,58.77,44,0,8.19
270,Chapais,CA,2021-05-24 03:54:53,49.7834,-74.8492,37.18,61,0,4.97
271,Dryden,CA,2021-05-24 03:54:53,49.7833,-92.7503,50.29,66,90,8.05
272,Narsaq,GL,2021-05-24 03:50:51,60.9167,-46.05,37.49,48,100,13.35
273,Winsum,NL,2021-05-24 03:54:54,53.33,6.5208,53.01,83,100,15.5
274,Port Hedland,AU,2021-05-24 03:50:47,-20.3167,118.5667,84.25,32,73,14.97
275,Maceio,BR,2021-05-24 03:49:56,-9.6658,-35.7353,74.64,82,40,7.36
276,Beringovskiy,RU,2021-05-24 03:51:14,63.05,179.3167,32.61,98,100,13.33
277,Manono,CD,2021-05-24 03:54:54,-7.3,27.4167,65.95,56,85,5.73
278,Songea,TZ,2021-05-24 03:52:41,-10.6833,35.65,58.35,94,20,0.0
279,Port Blair,IN,2021-05-24 03:51:39,11.6667,92.75,83.34,82,99,22.95
280,Bilibino,RU,2021-05-24 03:52:19,68.0546,166.4372,39.56,67,7,1.34
281,Matehuala,MX,2021-05-24 03:53:01,23.65,-100.65,65.1,73,89,9.95
282,Diego De Almagro,CL,2021-05-24 03:54:55,-26.3667,-70.05,57.47,32,99,0.67
283,Sfantu Gheorghe,RO,2021-05-24 03:54:56,45.8667,25.7833,55.56,83,85,9.66
284,Saldanha,ZA,2021-05-24 03:51:56,-33.0117,17.9442,59.05,73,95,10.71
285,Ambilobe,MG,2021-05-24 03:54:56,-13.2,49.05,69.24,81,99,2.95
286,Namatanai,PG,2021-05-24 03:54:57,-3.6667,152.4333,82.92,75,100,5.03
287,Bend,US,2021-05-24 03:54:57,44.0582,-121.3153,51.66,65,1,1.01
288,Kailua,US,2021-05-24 03:50:57,21.4022,-157.7394,84.18,73,90,5.75
289,Yamada,JP,2021-05-24 03:54:57,39.4667,141.95,69.98,60,98,4.99
290,Vikulovo,RU,2021-05-24 03:54:58,56.8167,70.6107,69.15,52,100,5.28
291,Faya,SA,2021-05-24 03:54:58,18.3851,42.4509,66.31,29,0,1.66
292,Alegrete,BR,2021-05-24 03:54:58,-29.7831,-55.7919,48.49,91,12,10.47
293,Sembe,CG,2021-05-24 03:54:59,1.6481,14.5806,70.02,98,98,1.54
294,Nioro,GM,2021-05-24 03:54:59,13.35,-15.75,77.27,43,99,6.38
295,Ghanzi,BW,2021-05-24 03:54:59,-21.5667,21.7833,49.8,74,0,8.61
296,Vaitape,PF,2021-05-24 03:55:00,-16.5167,-151.75,81.55,73,77,7.92
