,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Upernavik,GL,72.7868,-56.1549,34.03,98,77,4.36,broken clouds
116,Gazojak,TM,41.1875,61.4036,83.62,24,79,10.98,broken clouds
117,Mehamn,NO,71.0357,27.8492,39.11,76,92,20.71,overcast clouds
118,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,46,4.76,scattered clouds
119,Bluff,NZ,-46.6,168.3333,49.8,87,100,7.76,overcast clouds
120,San Cristobal,VE,7.7669,-72.225,69.33,94,94,4.27,overcast clouds
121,Matara,LK,5.9485,80.5353,78.78,88,99,15.01,overcast clouds
122,Moron,AR,-34.6534,-58.6198,66.02,67,12,5.01,few clouds
123,Sambava,MG,-14.2667,50.1667,70.72,86,2,8.21,clear sky
124,Voyvozh,RU,62.892,54.9635,36.54,97,99,3.89,overcast clouds
125,Nikolskoye,RU,59.7035,30.7861,52.39,98,99,5.17,overcast clouds
126,Saint-Augustin,CA,51.226,-58.6502,48.4,73,93,10.13,overcast clouds
127,Vanderhoof,CA,54.0166,-124.0198,43.43,95,100,9.55,overcast clouds
128,Smirnykh,RU,49.75,142.8333,42.69,83,90,3.91,overcast clouds
129,Pacific Grove,US,36.6177,-121.9166,81.86,75,1,5.01,clear sky
130,San Rafael,AR,-34.6177,-68.3301,62.1,36,83,8.16,broken clouds
131,Duku,NG,11.2361,4.9073,91.44,32,98,4.23,overcast clouds
132,Mar Del Plata,AR,-38.0023,-57.5575,64.09,54,0,11.01,light rain
133,Codrington,AU,-38.2667,141.9667,51.75,70,100,10.29,overcast clouds
134,Lavrentiya,RU,65.5833,-171.0,34.23,90,7,9.24,clear sky
135,Kieta,PG,-6.2167,155.6333,78.73,90,100,3.04,moderate rain
136,Talaya,RU,61.3833,152.75,43.86,61,64,3.58,broken clouds
137,Tuktoyaktuk,CA,69.4541,-133.0374,30.79,73,100,11.95,overcast clouds
138,Kaitangata,NZ,-46.2817,169.8464,49.93,85,100,2.71,overcast clouds
139,Acapulco,MX,16.8634,-99.8901,87.87,51,98,8.88,overcast clouds
140,Barpali,IN,21.2,83.5833,78.76,63,100,1.1,overcast clouds
141,Namibe,AO,-15.1961,12.1522,73.87,71,0,5.32,clear sky
142,Tiksi,RU,71.6872,128.8694,34.48,92,100,5.95,overcast clouds
143,Hailey,US,43.5196,-114.3153,68.9,30,40,0.0,scattered clouds
144,Iquique,CL,-20.2208,-70.1431,62.64,74,95,3.94,overcast clouds
145,Sitka,US,57.0531,-135.33,53.15,71,62,7.67,broken clouds
146,Tongren,CN,27.7172,109.1853,66.2,91,99,1.86,overcast clouds
147,Kichera,RU,55.9375,110.0997,41.88,62,7,4.85,clear sky
148,Jinka,ET,5.65,36.65,62.94,76,91,2.71,overcast clouds
149,Dillon,US,34.4166,-79.3712,95.34,33,57,7.07,broken clouds
150,Broken Hill,AU,-31.95,141.4333,45.97,89,16,9.53,few clouds
151,Nikolsk,RU,53.7189,46.0712,53.19,78,12,5.5,few clouds
152,Chokurdakh,RU,70.6333,147.9167,39.04,59,2,10.89,clear sky
153,Tall Kayf,TR,37.0833,41.0667,77.59,20,0,5.97,clear sky
154,Burgos,ES,42.3394,-3.7079,63.01,72,0,3.44,clear sky
155,Half Moon Bay,US,37.4636,-122.4286,82.81,65,1,10.18,clear sky
156,Avera,US,33.194,-82.5271,92.71,34,31,11.56,scattered clouds
157,Bilibino,RU,68.0546,166.4372,47.16,50,90,7.99,overcast clouds
158,Biak,ID,-0.9131,122.8766,75.99,83,26,5.77,scattered clouds
159,Beyneu,KZ,45.3167,55.2,73.98,55,92,12.97,overcast clouds
160,Pangnirtung,CA,66.1451,-65.7125,32.95,92,80,2.82,broken clouds
161,Flinders,AU,-34.5833,150.8552,54.21,70,9,7.0,clear sky
162,Bambous Virieux,MU,-20.3428,57.7575,73.22,87,32,7.56,light rain
163,Smoky Lake,CA,54.1169,-112.4686,72.48,46,86,14.97,overcast clouds
164,Luderitz,NA,-26.6481,15.1594,58.96,70,7,7.4,clear sky
165,Alugan,PH,12.2188,125.4808,81.64,84,38,8.28,scattered clouds
166,Iqaluit,CA,63.7506,-68.5145,34.7,69,95,11.99,overcast clouds
167,Puri,IN,19.8,85.85,85.37,90,55,10.18,broken clouds
168,Tommot,RU,58.9564,126.2925,50.9,83,100,4.34,light rain
169,Mahebourg,MU,-20.4081,57.7,73.26,87,41,7.29,light rain
170,Micheweni,TZ,-4.9667,39.8333,76.89,79,45,12.59,scattered clouds
171,Carnarvon,AU,-24.8667,113.6333,72.91,75,53,9.19,broken clouds
172,Sunbury,AU,-37.5833,144.7333,51.82,85,75,1.99,broken clouds
173,Arman,RU,59.7,150.1667,44.38,80,100,3.42,overcast clouds
174,Turukhansk,RU,65.8167,87.9833,38.59,91,100,11.88,light rain
175,Cherskiy,RU,68.75,161.3,57.11,24,94,8.84,overcast clouds
176,Leua,SK,48.2156,18.6071,52.11,89,100,6.93,overcast clouds
177,Hovd,MN,48.0056,91.6419,64.38,27,0,8.66,clear sky
178,Middlebury,US,44.0153,-73.1673,63.79,43,34,1.01,scattered clouds
179,Qaqortoq,GL,60.7167,-46.0333,54.1,55,46,4.0,scattered clouds
180,Hasaki,JP,35.7333,140.8333,63.28,79,100,2.42,overcast clouds
181,Port-Gentil,GA,-0.7193,8.7815,78.62,83,99,12.64,overcast clouds
182,Bonavista,CA,48.6499,-53.1147,50.11,98,100,17.34,light rain
183,Buin,CL,-33.7333,-70.75,68.05,41,64,2.48,broken clouds
184,Hermanus,ZA,-34.4187,19.2345,63.81,70,87,12.37,overcast clouds
185,High Level,CA,58.5169,-117.136,65.21,29,100,5.32,overcast clouds
186,Port Hardy,CA,50.6996,-127.4199,50.97,84,100,6.67,light rain
187,Chuy,UY,-33.6971,-53.4616,58.42,77,0,6.33,clear sky
188,Meulaboh,ID,4.1363,96.1285,76.23,87,94,4.05,overcast clouds
189,Kuytun,RU,54.3419,101.5036,44.35,51,99,5.99,overcast clouds
190,Ballater,GB,57.0493,-3.0402,51.3,87,98,2.71,overcast clouds
191,Altay,CN,47.8667,88.1167,67.1,29,80,3.44,broken clouds
192,Penzance,GB,50.1186,-5.5371,52.48,93,100,8.05,light rain
193,Caldwell,US,43.6629,-116.6874,81.68,31,1,9.22,clear sky
194,Na Klang,TH,17.3072,102.1889,80.76,99,99,2.15,overcast clouds
195,Dikson,RU,73.5069,80.5464,17.22,99,87,7.18,overcast clouds
196,Jalu,LY,29.0331,21.5482,80.08,29,16,10.67,few clouds
197,Tweed,CA,44.4751,-77.3162,64.22,40,78,7.56,broken clouds
198,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,78.46,48,25,4.88,scattered clouds
199,Trairi,BR,-3.2778,-39.2689,79.11,80,35,11.23,scattered clouds
200,Tazovskiy,RU,67.4667,78.7,22.95,92,62,8.01,broken clouds
201,Concepcion Del Oro,MX,24.6333,-101.4167,82.08,23,46,3.15,scattered clouds
202,Weligama,LK,5.9667,80.4167,79.09,87,99,14.92,overcast clouds
203,Chilca,PE,-12.5211,-76.7372,69.6,86,9,6.35,clear sky
204,Ancud,CL,-41.8697,-73.8203,50.43,87,100,29.64,light rain
205,Betare Oya,CM,5.6,14.0833,68.13,90,95,2.33,overcast clouds
206,Poum,NC,-20.2333,164.0167,72.01,70,98,7.9,overcast clouds
207,Inirida,CO,3.8653,-67.9239,75.0,92,100,2.21,overcast clouds
208,Wladyslawowo,PL,54.7909,18.4009,50.94,87,29,2.84,scattered clouds
209,Benalla,AU,-36.55,145.9833,47.95,76,6,6.33,clear sky
210,Lorengau,PG,-2.0226,147.2712,80.35,84,100,5.28,overcast clouds
211,Latiano,IT,40.5529,17.7205,68.81,54,0,1.9,clear sky
212,Kasungu,MW,-13.0333,33.4833,54.1,73,0,3.58,clear sky
213,Kudahuvadhoo,MV,2.6708,72.8944,83.93,74,100,21.9,overcast clouds
214,Cockburn Town,TC,21.4612,-71.1419,79.25,77,7,13.89,clear sky
215,Mecca,SA,21.4267,39.8261,87.03,42,58,1.07,broken clouds
216,Tacuarembo,UY,-31.7333,-55.9833,57.79,78,0,5.53,clear sky
217,Faanui,PF,-16.4833,-151.75,80.44,73,53,12.19,broken clouds
218,Dali,CN,25.7,100.1833,62.47,94,94,4.16,overcast clouds
219,Castro,BR,-24.7911,-50.0119,60.66,84,67,1.99,broken clouds
220,Shaoyang,CN,27.2315,111.4525,67.64,96,96,1.97,overcast clouds
221,Verkhnyaya Inta,RU,65.9811,60.3094,33.42,68,10,4.68,clear sky
222,Baker City,US,44.7749,-117.8344,73.11,32,75,10.36,broken clouds
223,Bokoro,TD,12.3807,17.0568,89.28,36,46,5.64,scattered clouds
224,Fortuna,US,40.5982,-124.1573,62.65,68,90,5.99,overcast clouds
225,Havelock,US,34.8791,-76.9013,88.05,84,40,5.75,scattered clouds
226,Tura,IN,25.5198,90.2201,73.33,92,100,3.98,overcast clouds
227,Port Elizabeth,ZA,-33.918,25.5701,60.1,77,91,9.13,overcast clouds
228,Durban,ZA,-29.8579,31.0292,67.01,72,72,1.99,broken clouds
229,Timizart,DZ,36.8,4.2667,64.0,72,100,7.07,overcast clouds
230,Omsukchan,RU,62.5333,155.8,39.99,68,100,2.39,overcast clouds
231,Hami,CN,42.8,93.45,79.52,12,100,1.48,overcast clouds
232,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,78,49,5.82,scattered clouds
233,Yuzhno-Kurilsk,RU,44.0306,145.8556,42.31,96,100,11.54,moderate rain
234,Clyde River,CA,70.4692,-68.5914,28.63,86,88,8.77,overcast clouds
235,Cerrito,CO,6.8432,-72.694,52.99,93,94,4.56,overcast clouds
236,Oga,IT,46.4631,10.347,40.24,93,29,5.91,scattered clouds
237,Barrow,US,71.2906,-156.7887,33.82,75,90,14.97,overcast clouds
238,Cabo San Lucas,MX,22.8909,-109.9124,98.82,49,43,11.56,scattered clouds
239,Andenes,NO,69.3143,16.1194,41.07,75,90,14.97,overcast clouds
240,Dubbo,AU,-32.25,148.6167,37.53,100,90,4.61,overcast clouds
241,Coahuayana,MX,18.7333,-103.6833,96.28,45,100,7.25,overcast clouds
242,Kutum,SD,14.2,24.6667,82.51,18,83,5.08,broken clouds
243,Kahului,US,20.8947,-156.47,86.74,71,49,11.01,scattered clouds
244,Necochea,AR,-38.5473,-58.7368,64.04,59,100,17.85,overcast clouds
245,Guerrero Negro,MX,27.9769,-114.0611,68.67,55,0,21.39,clear sky
246,Selaphum,TH,16.0299,103.9383,76.91,87,100,6.4,overcast clouds
247,Baoqing,CN,46.3317,132.2111,56.3,69,29,3.76,scattered clouds
248,Guiratinga,BR,-16.3494,-53.7583,79.74,50,60,3.67,broken clouds
249,Lebu,CL,-37.6167,-73.65,53.78,86,0,9.46,clear sky
250,Vaasa,FI,63.096,21.6158,42.3,87,0,2.3,clear sky
251,Klaksvik,FO,62.2266,-6.589,43.72,87,80,15.41,broken clouds
252,Cassilandia,BR,-19.1133,-51.7342,75.33,52,26,4.94,scattered clouds
253,Keti Bandar,PK,24.1447,67.4497,83.66,84,2,13.87,clear sky
254,Khrystynivka,UA,48.8249,29.9681,59.56,81,100,3.42,overcast clouds
255,Price,US,39.5994,-110.8107,80.06,12,1,12.66,clear sky
256,Longyearbyen,SJ,78.2186,15.6401,30.04,64,40,19.57,scattered clouds
257,Nieuw Amsterdam,SR,5.8833,-55.0833,80.76,89,40,4.83,scattered clouds
258,Norman Wells,CA,65.282,-126.8329,44.78,70,100,1.21,overcast clouds
259,San Quintin,MX,30.4833,-115.95,64.67,62,0,17.13,clear sky
260,Nanortalik,GL,60.1432,-45.2371,43.5,70,15,6.08,few clouds
261,Athabasca,CA,54.7169,-113.2854,72.43,51,97,13.67,overcast clouds
262,Kirakira,SB,-10.4544,161.9205,79.63,70,90,5.95,overcast clouds
263,Buraydah,SA,26.326,43.975,87.12,16,53,5.66,broken clouds
264,Chivay,PE,-15.6383,-71.6011,51.15,56,96,6.4,overcast clouds
265,Maracaju,BR,-21.6144,-55.1683,80.91,45,97,5.08,overcast clouds
266,Luan,CH,46.3592,6.9759,48.83,83,0,3.69,clear sky
267,Miami,US,25.7743,-80.1937,85.98,62,75,3.0,broken clouds
268,Lasa,IT,46.6166,10.7002,47.62,91,27,7.11,scattered clouds
269,Ucluelet,CA,48.9329,-125.5528,56.08,84,94,1.01,overcast clouds
270,Birao,CF,10.2849,22.7882,77.63,65,38,3.09,scattered clouds
271,Aylmer,CA,42.7668,-80.983,62.06,49,87,11.14,overcast clouds
272,Qaanaaq,GL,77.484,-69.3632,37.27,77,100,6.31,overcast clouds
273,Fort Nelson,CA,58.8053,-122.7002,64.17,24,68,3.36,broken clouds
274,Vestmannaeyjar,IS,63.4427,-20.2734,45.3,78,60,31.29,broken clouds
275,Savannakhet,LA,16.566,104.751,77.41,91,98,6.2,overcast clouds
276,Kourou,GF,5.1552,-52.6478,76.1,95,100,4.68,overcast clouds
277,Noyabrsk,RU,63.1994,75.4507,33.8,57,40,9.98,scattered clouds
278,Saldanha,ZA,-33.0117,17.9442,57.49,90,69,10.51,broken clouds
279,Batagay-Alyta,RU,67.8006,130.4114,54.1,47,86,2.37,overcast clouds
280,Illapel,CL,-31.6308,-71.1653,64.63,54,78,2.86,broken clouds
281,Waspan,NI,14.7419,-83.9717,87.15,56,84,8.43,broken clouds
282,Vilyuysk,RU,63.7553,121.6247,55.35,64,74,4.68,broken clouds
283,Nesna,NO,66.1967,13.0213,42.58,78,51,11.88,broken clouds
284,Caravelas,BR,-17.7125,-39.2481,74.52,82,52,6.6,broken clouds
285,Metlaltoyuca,MX,20.7333,-97.85,91.13,42,84,15.48,broken clouds
286,Takoradi,GH,4.8845,-1.7554,80.58,84,65,8.3,broken clouds
287,Carbonia,IT,39.1672,8.5222,61.84,49,95,5.26,overcast clouds
288,Aracati,BR,-4.5617,-37.7697,79.97,79,34,12.57,scattered clouds
289,Banda Aceh,ID,5.5577,95.3222,81.14,73,100,11.54,overcast clouds
290,Ribeira Grande,PT,38.5167,-28.7,59.85,62,100,9.46,overcast clouds
291,Kodiak,US,57.79,-152.4072,51.64,70,72,6.29,broken clouds
292,Saint Paul,US,44.9444,-93.0933,46.29,92,90,1.01,light rain
293,Kavaratti,IN,10.5669,72.642,83.16,77,15,16.28,few clouds
294,Lima,PE,-12.0432,-77.0282,67.89,78,21,7.7,few clouds
295,Sumenep,ID,-7.0167,113.8667,79.95,85,29,10.58,scattered clouds
296,Asau,RO,46.4333,26.4,60.76,100,96,4.03,overcast clouds
297,Waipawa,NZ,-41.4122,175.5153,52.03,69,99,5.37,overcast clouds
298,Siyabuswa,ZA,-25.1132,29.0445,55.67,33,7,2.68,clear sky
299,Anadyr,RU,64.75,177.4833,41.5,65,75,13.0,broken clouds
300,Linhares,BR,-19.3911,-40.0722,71.53,92,40,3.51,scattered clouds
301,Tambun,ID,-6.2641,107.0712,81.46,94,20,3.53,few clouds
302,Asosa,ET,10.0667,34.5333,66.13,68,40,2.44,scattered clouds
303,Margate,GB,51.3813,1.3862,53.04,78,67,1.01,broken clouds
304,Urengoy,RU,65.9667,78.3667,28.83,76,98,12.39,overcast clouds
305,Severo-Kurilsk,RU,50.6789,156.125,39.76,82,89,9.89,overcast clouds
306,Avarua,CK,-21.2078,-159.775,84.25,79,75,14.97,broken clouds
307,Kenmare,IE,51.8833,-9.5833,49.57,98,100,4.12,overcast clouds
308,Siedlce,PL,52.1677,22.2901,47.57,76,99,4.61,overcast clouds
309,Verkhoshizhemye,RU,58.011,49.1038,53.19,84,73,6.02,broken clouds
310,Cidreira,BR,-30.1811,-50.2056,62.47,68,0,2.24,clear sky
311,Maniitsoq,GL,65.4167,-52.9,35.04,89,47,1.59,scattered clouds
312,Usinsk,RU,65.9939,57.5281,34.61,64,10,7.74,clear sky
313,Leningradskiy,RU,69.3833,178.4167,32.32,97,74,11.56,broken clouds
314,Port Hedland,AU,-20.3167,118.5667,75.25,46,100,11.5,overcast clouds
315,Tiznit,MA,29.5833,-9.5,62.42,78,70,3.13,broken clouds
316,Okhotsk,RU,59.3833,143.3,42.1,72,99,4.05,overcast clouds
317,Chumikan,RU,54.7183,135.315,36.39,79,85,2.91,overcast clouds
318,Taksimo,RU,56.3444,114.8794,48.51,73,92,2.84,overcast clouds
319,Ayan,RU,56.45,138.1667,37.74,77,99,6.31,overcast clouds
320,Pishva,IR,35.308,51.7267,74.41,29,0,4.14,clear sky
321,Los Alamos,US,35.8881,-106.307,79.36,13,40,1.01,scattered clouds
322,Akureyri,IS,65.6835,-18.0878,57.58,35,15,5.97,few clouds
323,Strezhevoy,RU,60.7333,77.5889,37.38,84,16,8.9,few clouds
324,Lamar,US,33.6668,-95.5836,86.16,61,75,12.53,broken clouds
325,Bako,ET,5.7833,36.5667,63.09,79,91,4.5,overcast clouds
326,Bonthe,SL,7.5264,-12.505,81.97,79,63,9.44,broken clouds
327,Kousseri,CM,12.0769,15.0306,91.49,10,74,6.17,broken clouds
328,Pingliang,CN,35.5392,106.6861,57.27,42,97,3.15,overcast clouds
329,Puerto Escondido,MX,15.85,-97.0667,88.63,66,75,5.75,broken clouds
330,Yermish,RU,54.7678,42.2711,61.86,76,98,6.24,overcast clouds
331,Salina,US,38.8403,-97.6114,76.3,57,1,20.71,clear sky
332,Kruisfontein,ZA,-34.0033,24.7314,57.88,86,78,6.85,broken clouds
333,Aklavik,CA,68.2191,-135.0107,34.52,61,100,11.18,overcast clouds
334,Pimentel,PE,-6.8367,-79.9342,68.29,84,75,3.0,broken clouds
335,Soyo,AO,-6.1349,12.3689,76.21,89,100,6.26,overcast clouds
336,Cordoba,AR,-31.4135,-64.1811,71.76,41,53,1.99,broken clouds
337,Okha,RU,53.5739,142.9478,40.35,79,57,8.08,broken clouds
338,Vostok,RU,46.4856,135.8833,47.34,73,100,1.66,light rain
339,Kampene,CD,-3.6,26.6667,70.16,87,55,2.33,broken clouds
340,Laukaa,RU,58.7372,29.8453,46.26,99,80,4.45,broken clouds
341,Grand Forks,US,47.9417,-97.4337,57.13,25,75,11.5,broken clouds
342,Lannion,FR,48.75,-3.4167,53.58,82,90,3.44,overcast clouds
343,Ino,JP,33.55,133.4333,62.13,74,100,1.59,overcast clouds
344,Alamor,EC,-4.0181,-80.0197,61.48,88,93,2.66,light rain
345,Berlevag,NO,70.8578,29.0864,39.15,65,75,21.85,broken clouds
346,Padang,ID,-0.9492,100.3543,77.23,85,100,3.89,overcast clouds
347,Christchurch,NZ,-43.5333,172.6333,46.0,93,90,3.44,light rain
