City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Fare,PF,80.31,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
591,Khair,IN,85.15,clear sky,27.95,77.8333,मुंबई चौपाटी
592,Maragogi,BR,76.96,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
594,Eydhafushi,MV,82.11,overcast clouds,5.1033,73.0708,Soneva Fushi
595,Port Blair,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
597,Mahina,PF,83.97,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
598,Wanning,CN,81.57,overcast clouds,18.8003,110.3967,Paradise Hotel
603,Gizo,SB,77.54,heavy intensity rain,-8.103,156.8419,Imagination Island
606,Quang Ngai,VN,77.0,overcast clouds,15.1167,108.8,Central Hotel
614,La Grande,US,75.51,overcast clouds,45.3246,-118.0877,Travelodge by Wyndham La Grande
616,Qinzhou,CN,80.38,broken clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
617,Truckee,US,78.55,clear sky,39.328,-120.1833,Truckee Donner Lodge
618,Lodwar,KE,83.79,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
626,Khorramshahr,IR,84.16,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
630,Altamira,BR,79.93,broken clouds,-3.2033,-52.2064,Requinte Hotel
631,Butler,US,82.9,broken clouds,39.4501,-84.5666,Lake Bailee Recreational Park & Gun Range
632,Salinopolis,BR,79.36,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
633,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
636,Haapiti,PF,83.93,few clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
639,Campos Belos,BR,75.85,few clouds,-13.0367,-46.7717,Pousada Carnaúba
642,Pemangkat,ID,78.04,scattered clouds,1.1667,108.9667,Ramah Kost KITA
646,Hickory,US,88.14,few clouds,35.7332,-81.3412,"Crowne Plaza Hickory, an IHG Hotel"
653,Luganville,VU,75.79,broken clouds,-15.5333,167.1667,The Espiritu Hotel
655,Nova Olimpia,BR,80.89,few clouds,-14.7972,-57.2881,Motel glamour
656,Kota Tinggi,MY,78.84,broken clouds,1.7381,103.8999,Canopy Tribe
663,Kuah,MY,83.39,overcast clouds,6.3265,99.8432,Azio Hotel
664,Bucerias,MX,89.01,scattered clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
666,Moundsville,US,79.16,overcast clouds,39.9203,-80.7431,Sleep Inn & Suites
677,Kismayo,SO,77.81,light rain,-0.3582,42.5454,Agan-Hotel
683,Alim,PH,80.89,broken clouds,9.5649,122.4876,Calamai Tropica
688,Bol,TD,84.13,scattered clouds,13.4586,14.7147,Hotel 3 Etoiles
691,Nishihara,JP,79.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
